jun_07_2018_23_54, 16.63
jun_08_2018_00_54, 18.60
jun_08_2018_01_54, 23.23
jun_08_2018_02_54, 23.57
jun_08_2018_03_54, 23.07
jun_08_2018_04_54, 20.17
jun_08_2018_05_54, 23.17
jun_08_2018_06_54, 23.10
jun_08_2018_07_54, 17.98
jun_08_2018_08_54, 22.10
jun_08_2018_09_54, 19.70
jun_08_2018_10_54, 19.68
jun_08_2018_11_54, 21.60
jun_08_2018_12_54, 22.43
jun_08_2018_13_54, 22.15
jun_08_2018_14_54, 22.10
jun_08_2018_15_54, 21.17
jun_08_2018_16_54, 18.27
jun_08_2018_17_54, 19.84
jun_08_2018_18_54, 19.63
jun_08_2018_19_54, 20.93
jun_08_2018_20_54, 20.17
jun_08_2018_21_54, 21.35
jun_08_2018_22_54, 18.17
jun_08_2018_23_54, 22.63
jun_09_2018_00_54, 20.67
jun_09_2018_01_54, 23.80
jun_09_2018_02_54, 16.79
jun_09_2018_03_54, 22.27
jun_09_2018_04_54, 21.77
jun_09_2018_05_54, 21.18
jun_09_2018_06_54, 22.97
jun_09_2018_07_54, 20.47
jun_09_2018_08_54, 18.81
jun_09_2018_09_54, 19.67
jun_09_2018_10_54, 19.61
jun_09_2018_11_54, 16.10
jun_09_2018_12_54, 20.40
jun_09_2018_13_54, 19.97
jun_09_2018_14_54, 21.80
jun_09_2018_15_54, 20.99
jun_09_2018_16_54, 21.43
jun_09_2018_17_54, 18.69
jun_09_2018_18_54, 18.08
jun_09_2018_19_54, 18.93
jun_09_2018_20_54, 20.40
jun_09_2018_21_54, 21.30
jun_09_2018_22_54, 21.00
jun_09_2018_23_54, 19.46
jun_10_2018_00_54, 21.75
jun_10_2018_01_54, 20.00
jun_10_2018_02_54, 22.16
jun_10_2018_03_54, 20.42
jun_10_2018_04_54, 20.22
jun_10_2018_05_54, 22.53
jun_10_2018_06_54, 23.05
jun_10_2018_07_54, 17.86
jun_10_2018_08_54, 15.90
jun_10_2018_09_54, 19.63
jun_10_2018_10_54, 16.39
jun_10_2018_11_54, 16.13
jun_10_2018_12_54, 21.45
jun_10_2018_13_54, 20.43
jun_10_2018_14_54, 21.02
jun_10_2018_15_54, 20.88
jun_10_2018_16_54, 20.47
jun_10_2018_17_54, 20.60
jun_10_2018_18_54, 20.63
jun_10_2018_19_54, 18.23
jun_10_2018_20_54, 13.80
jun_10_2018_21_54, 18.13
jun_10_2018_22_54, 21.22
jun_10_2018_23_54, 17.93
